entity_type,entity_id,latitude,longitude,prefecture_code,prefecture_name,province_code,province_name,boundary_level,join_method,fallback_distance_km,boundary_source,evidence_grade
source,CT_33998936,38.0375438003888,109.55343316157,610800,榆林市,610000,陕西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566549,36.1249732849817,114.285532794986,410500,安阳市,410000,河南省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566679,21.5595331242681,108.391350621658,450600,防城港市,450000,广西壮族自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25455474,34.3074,120.2469,320900,盐城市,320000,江苏省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25454534,22.6065,114.7419,441300,惠州市,440000,广东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25454999,37.8376,106.6665,640100,银川市,640000,宁夏回族自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25454825,29.0133,121.6972,331000,台州市,330000,浙江省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25454536,37.2697,118.9067,370700,潍坊市,370000,山东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566541,39.7466721226454,118.62651654157,130200,唐山市,130000,河北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453796,25.9435,113.2142,431000,郴州市,430000,湖南省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25455191,26.5667,111.4927,431100,永州市,430000,湖南省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453984,27.7845,116.5644,361000,抚州市,360000,江西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_719528,39.7117,111.2005,150600,鄂尔多斯市,150000,内蒙古自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566688,35.6781971399801,111.514647072187,141000,临汾市,140000,山西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25452006,31.6569,121.1793,320500,苏州市,320000,江苏省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453413,39.3648,112.5333,140600,朔州市,140000,山西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_45257158,38.9033016,109.597467,150600,鄂尔多斯市,150000,内蒙古自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25450374,33.3086,112.6445,411300,南阳市,410000,河南省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25454826,27.4974,120.6632,330300,温州市,330000,浙江省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_32440419,24.6346284061221,117.60527063065,350600,漳州市,350000,福建省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566528,38.3923874342097,114.14305119012,130100,石家庄市,130000,河北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25454918,30.6779,108.399,500000,重庆市,500000,重庆市,municipality,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453972,22.7069,115.5553,441500,汕尾市,440000,广东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25455027,32.8972,116.2426,341600,亳州市,340000,安徽省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_6889,35.8617,109.2146,610600,延安市,610000,陕西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25455285,22.8325,115.9855,441500,汕尾市,440000,广东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25454703,24.7361,111.3467,451100,贺州市,450000,广西壮族自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25455162,20.5116,109.828,440800,湛江市,440000,广东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_719532,24.417,113.5409,441800,清远市,440000,广东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25452673,27.0469,115.0202,360800,吉安市,360000,江西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25454058,25.2044,118.9438,350500,泉州市,350000,福建省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453170,35.1885,112.8876,410800,焦作市,410000,河南省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25455091,39.3852,106.9657,150600,鄂尔多斯市,150000,内蒙古自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_450586,39.2848,106.789,640200,石嘴山市,640000,宁夏回族自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_32267423,36.555066531858685,103.88361230063248,620100,兰州市,620000,甘肃省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_451259,34.7413,112.0634,410300,洛阳市,410000,河南省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453931,36.5538,111.6918,141000,临汾市,140000,山西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25451068,27.8283,112.9968,430300,湘潭市,430000,湖南省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25452918,36.3261,113.0814,140400,长治市,140000,山西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25454452,33.8219,113.0144,410400,平顶山市,410000,河南省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453571,30.1611,106.5481,500000,重庆市,500000,重庆市,municipality,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_48193110,36.5917337291953,118.010377350168,370300,淄博市,370000,山东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566600,34.3616112396159,118.266441958749,320300,徐州市,320000,江苏省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25451006,45.7604,131.0533,230900,七台河市,230000,黑龙江省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25454306,38.1132,118.9102,370500,东营市,370000,山东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566585,31.9470936080758,120.322993054148,320200,无锡市,320000,江苏省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_4403019,43.5282,123.4633,220300,四平市,220000,吉林省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566518,39.4995161589342,118.273783093327,130200,唐山市,130000,河北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25452024,36.6656,119.2632,370700,潍坊市,370000,山东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_45257082,33.0663112,115.282405,341200,阜阳市,340000,安徽省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_33999061,37.2439923419329,116.644993658832,371400,德州市,370000,山东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_32440426,39.8172096527437,98.2860781155599,620200,嘉峪关市,620000,甘肃省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566539,39.9021660555328,118.582529547916,130200,唐山市,130000,河北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25454006,21.9681,113.1802,440400,珠海市,440000,广东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25457168,33.0864,111.9,411300,南阳市,410000,河南省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25451053,25.9908,119.4816,350100,福州市,350000,福建省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25455167,40.5575,110.1462,150200,包头市,150000,内蒙古自治区,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566526,40.1832012090553,118.066356308566,130200,唐山市,130000,河北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25453460,30.2031,115.1803,420200,黄石市,420000,湖北省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25452667,34.1751,113.3581,411000,许昌市,410000,河南省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25455275,21.441,111.2896,440900,茂名市,440000,广东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_1566651,35.4126850575263,111.299870213618,140800,运城市,140000,山西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25455986,32.1718,119.0198,320100,南京市,320000,江苏省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25451576,36.7301,104.761,620400,白银市,620000,甘肃省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25452952,28.2891,117.2235,360600,鹰潭市,360000,江西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25450375,33.738,113.2419,410400,平顶山市,410000,河南省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25457205,38.5324,109.8797,610800,榆林市,610000,陕西省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
source,CT_25454056,24.5852,113.5823,440200,韶关市,440000,广东省,city,polygon_contains,0.0,DataV areas_v3 public boundary service,B
