change,locode,name,name_wo_diacritics,subdivision,function,status,date,iata,coordinates,remarks,latitude,longitude,is_water_port
,CNZEC,"Zengcheng,Guangzhou","Zengcheng,Guangzhou",GD,--3--6--,AA,2207,,2315N 11339E,,23.250000,113.650000,0
,CNZMU,Zham,Zham,XZ,--3-----,AS,1601,,2800N 08600E,,28.000000,86.000000,0
,CNZGH,Zhangcha,Zhangcha,SX,--3-----,RL,0607,,3940N 11421E,,39.666667,114.350000,0
,CNZHF,Zhangfeng,Zhangfeng,YN,--3-----,AS,1401,,,,,,0
,CNZAG,Zhanghu,Zhanghu,AH,1-------,RL,1401,,,,,,1
,CNZJB,Zhangjiabian,Zhangjiabian,GD,1-3--6--,RL,0601,,2233N 11327E,,22.550000,113.450000,1
,CNWHZ,Zhangjiabu,Zhangjiabu,SD,1-------,AS,1407,,,,,,1
,CNZJG,Zhangjiagang,Zhangjiagang,JS,1-------,AS,1401,,3152N 12032E,,31.866667,120.533333,1
,CNDYG,Zhangjiajie,Zhangjiajie,HN,-234----,AS,2107,,2906N 11026E,,29.100000,110.433333,0
¦,CNZJK,Zhangjiakou,Zhangjiakou,HE,-23--6--,AS,2407,,4049N 11452E,,40.816667,114.866667,0
,CNZJI,Zhangjian,Zhangjian,SN,--3-----,RL,0201,,3345N 11006E,,33.750000,110.100000,0
,CNZGU,Zhangmutou,Zhangmutou,GD,--3-----,RL,9901,,,,,,0
,CNZQH,Zhangqiu,Zhangqiu,41,-----6--,RL,0901,,3603N 11558E,,36.050000,115.966667,0
,CNZGS,Zhangshan,Zhangshan,JS,1-3-----,RL,0607,,3407N 11819E,,34.116667,118.316667,1
,CNZHN,Zhangshu,Zhangshu,36,--3-----,RL,0901,,2805N 11531E,,28.083333,115.516667,0
,CNZGW,Zhangwan,Zhangwan,FJ,1-------,AS,1401,,2642N 11935E,,26.700000,119.583333,1
,CNZZH,Zhangzhou,Zhangzhou,FJ,123-----,AA,2207,,2431N 11739E,,24.516667,117.650000,1
,CNZHA,Zhanjiang,Zhanjiang,GD,-234----,AS,2107,,,,,,0
,CNZNG,Zhanjiang Pt,Zhanjiang Pt,GD,1-------,AS,1601,,2105N 11030E,,21.083333,110.500000,1
,CNZDO,Zhaodong,Zhaodong,HL,123--6--,RL,0601,,4604N 12559E,,46.066667,125.983333,1
,CNZHG,Zhaogang,Zhaogang,AH,1-3-----,RL,0607,,3233N 11638E,,32.550000,116.633333,1
,CNZPI,Zhaoping,Zhaoping,GD,1-------,RL,1401,,,,,,1
,CNZQG,Zhaoqing,Zhaoqing,GD,123-----,AS,2107,,2303N 11227E,,23.050000,112.450000,1
,CNZQN,Zhaoqing Railway Station,Zhaoqing Railway Station,GD,-2------,AS,1601,,,,,,0
,CNZAT,Zhaotong,Zhaotong,YN,-234----,RL,2107,,,,,,0
,CNZHY,Zhaoyuan,Zhaoyuan,HL,1-3-----,RL,1401,,,,,,1
,CNZYU,Zhaoyuan,Zhaoyuan,37,--3-----,RL,0901,,3721N 12023E,,37.350000,120.383333,0
,CNZPO,Zhapo,Zhapo,GD,1-------,AS,1401,,2134N 11151E,,21.566667,111.850000,1
,CNZPK,Zhapoyouku,Zhapoyouku,GD,1-------,RL,1401,,,,,,1
,CNZPU,Zhapu Pt,Zhapu Pt,ZJ,1-------,AS,1407,,3035N 12105E,,30.583333,121.083333,1
,CNZEL,Zhelin,Zhelin,GD,1-------,AS,1401,,2335N 11706E,,23.583333,117.100000,1
,CNZJN,Zhengjiatun,Zhengjiatun,JL,-2------,RL,1401,,,,,,0
