FID,County name,Province name,Storage potential-DSA (Mt),Storage potential-EOR (Mt),Storage potential-ALL (Mt),Injection rate capability-DSA (Mt/a),Injection rate capability-EOR (Mt/a)
425,Leye County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
426,Lingyun County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
427,Longlin Autonomous County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
428,Napo County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
429,Pingguo City,Guangxi Zhuang Autonomous Region,0,0,0,0,0
430,Tiandong County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
431,Tianlin County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
432,Tianyang District,Guangxi Zhuang Autonomous Region,0,0,0,0,0
433,Xilin County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
434,Yuijiang District,Guangxi Zhuang Autonomous Region,0,0,0,0,0
435,Haicheng District,Guangxi Zhuang Autonomous Region,0,0,0,0,0
436,Hepu County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
437,Tieshangang District,Guangxi Zhuang Autonomous Region,0,0,0,0,0
438,Yinhai District,Guangxi Zhuang Autonomous Region,0,0,0,0,0
439,Daxin County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
440,Fusui County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
441,Jiangzhou District,Guangxi Zhuang Autonomous Region,0,0,0,0,0
442,Longzhou County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
443,Ningming County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
444,Pingxiang,Guangxi Zhuang Autonomous Region,0,0,0,0,0
445,Tianying County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
446,Dongxing,Guangxi Zhuang Autonomous Region,0,0,0,0,0
447,Fangcheng District,Guangxi Zhuang Autonomous Region,0,0,0,0,0
448,Harbor District,Guangxi Zhuang Autonomous Region,0,0,0,0,0
449,Shangsi County,Guangxi Zhuang Autonomous Region,0,0,0,0,0
450,Gangbei District,Guangxi Zhuang Autonomous Region,0,0,0,0,0
451,Gangnan District,Guangxi Zhuang Autonomous Region,0,0,0,0,0
452,Guiping,Guangxi Zhuang Autonomous Region,0,0,0,0,0
